,timesteps,ep_reward,num_updates,episodes
0,200,-122.0,0,0
1,200,-119.0,0,1
2,164,-107.0,0,2
3,200,-124.0,0,3
4,200,-120.0,0,4
5,200,-116.0,0,5
6,200,-124.0,0,6
7,200,-126.0,0,7
8,200,-116.0,0,8
9,190,-126.0,0,9
10,200,-121.0,1,10
11,166,-89.0,0,11
12,135,-74.0,0,12
13,200,-92.0,0,13
14,152,-86.0,0,14
15,200,-118.0,0,15
16,200,-103.0,0,16
17,200,-109.0,0,17
18,200,-109.0,0,18
19,45,-19.0,0,19
20,106,-44.0,0,20
21,200,-106.0,0,21
22,70,-32.0,1,22
23,200,-70.0,0,23
24,35,-11.0,0,24
25,22,-4.0,0,25
26,191,-55.0,0,26
27,160,-54.0,0,27
28,200,-54.0,0,28
29,200,-66.0,0,29
30,78,-38.0,0,30
31,200,-62.0,0,31
32,45,-19.0,0,32
33,200,-68.0,0,33
34,200,-72.0,0,34
35,91,-32.0,0,35
36,32,-10.0,0,36
37,136,-62.0,1,37
38,151,-44.0,0,38
39,28,-8.0,0,39
40,154,-46.0,0,40
41,126,-31.0,0,41
42,200,-50.0,0,42
43,36,-13.0,0,43
44,21,-4.0,0,44
45,21,-4.0,0,45
46,28,-8.0,0,46
47,200,-50.0,0,47
48,38,-14.0,0,48
49,35,-12.0,0,49
50,22,-4.0,0,50
51,200,-39.0,0,51
52,31,-9.0,0,52
53,20,-4.0,0,53
54,138,-38.0,0,54
55,200,-35.0,0,55
56,17,-2.0,0,56
57,28,-7.0,0,57
58,34,-10.0,0,58
59,200,-38.0,0,59
60,200,-49.0,1,60
61,31,-10.0,0,61
62,200,-32.0,0,62
63,20,-3.0,0,63
64,24,-6.0,0,64
65,143,-26.0,0,65
66,200,-30.0,0,66
67,23,-4.0,0,67
68,200,-25.0,0,68
69,124,-27.0,0,69
70,38,-13.0,0,70
71,15,-1.0,0,71
72,23,-5.0,0,72
73,31,-9.0,0,73
74,51,-10.0,0,74
75,153,-44.0,0,75
76,113,-22.0,0,76
77,17,-2.0,0,77
78,161,-38.0,0,78
79,31,-11.0,0,79
80,25,-5.0,0,80
81,23,-6.0,0,81
82,16,-1.0,0,82
83,19,-2.0,0,83
84,58,-11.0,0,84
85,17,-2.0,0,85
86,120,-24.0,1,86
87,18,-2.0,0,87
88,23,-5.0,0,88
89,14,0.0,0,89
90,19,-3.0,0,90
91,19,-4.0,0,91
92,20,-4.0,0,92
93,18,-2.0,0,93
94,98,-12.0,0,94
95,20,-4.0,0,95
96,106,-16.0,0,96
97,25,-6.0,0,97
98,116,-22.0,0,98
99,137,-21.0,0,99
100,17,-2.0,0,100
101,17,-2.0,0,101
102,15,-1.0,0,102
103,19,-4.0,0,103
104,20,-3.0,0,104
105,17,-1.0,0,105
106,16,-1.0,0,106
107,15,-1.0,0,107
108,14,0.0,0,108
109,22,-5.0,0,109
110,15,0.0,0,110
111,16,-1.0,0,111
112,18,-2.0,0,112
113,23,-4.0,0,113
114,119,-25.0,0,114
115,200,-25.0,0,115
116,18,-3.0,0,116
117,200,-32.0,0,117
118,17,-2.0,0,118
119,45,-4.0,0,119
120,186,-14.0,0,120
121,20,-3.0,0,121
122,15,0.0,0,122
123,17,-1.0,0,123
124,20,-3.0,0,124
125,26,-7.0,0,125
126,14,0.0,0,126
127,26,-7.0,0,127
128,126,-16.0,0,128
129,104,-13.0,1,129
130,21,-4.0,0,130
131,200,-21.0,0,131
132,18,-3.0,0,132
133,17,-2.0,0,133
134,121,-12.0,0,134
135,18,-2.0,0,135
136,19,-3.0,0,136
137,20,-3.0,0,137
138,102,-15.0,0,138
139,84,-4.0,0,139
140,15,0.0,0,140
141,19,-3.0,0,141
142,14,0.0,0,142
143,49,-6.0,0,143
144,28,-7.0,0,144
145,20,-3.0,0,145
146,15,-1.0,0,146
147,17,-1.0,0,147
148,14,0.0,0,148
149,16,-1.0,0,149
150,163,-13.0,0,150
151,14,0.0,0,151
152,15,0.0,0,152
153,195,-17.0,0,153
154,17,-1.0,0,154
155,125,-15.0,0,155
156,17,-2.0,0,156
157,19,-4.0,0,157
158,16,-1.0,0,158
159,20,-3.0,0,159
160,96,-11.0,0,160
161,23,-4.0,0,161
162,192,-18.0,0,162
163,17,-2.0,0,163
164,99,-13.0,0,164
165,26,-5.0,0,165
166,16,0.0,0,166
167,16,-2.0,0,167
168,19,-2.0,0,168
169,17,-2.0,0,169
170,16,-1.0,1,170
171,200,-15.0,0,171
172,16,0.0,0,172
173,18,-3.0,0,173
174,23,-4.0,0,174
175,22,-3.0,0,175
176,92,-9.0,0,176
177,22,-3.0,0,177
178,19,-3.0,0,178
179,18,-2.0,0,179
180,19,-2.0,0,180
181,16,-1.0,0,181
182,20,-3.0,0,182
183,17,-2.0,0,183
184,119,-10.0,0,184
185,20,-3.0,0,185
186,100,-12.0,0,186
187,119,-12.0,0,187
188,45,-5.0,0,188
189,22,-4.0,0,189
190,44,-3.0,0,190
191,16,-1.0,0,191
192,23,-5.0,0,192
193,15,0.0,0,193
194,16,0.0,0,194
195,90,-7.0,0,195
196,19,-2.0,0,196
197,42,-2.0,0,197
198,19,-2.0,0,198
199,200,-17.0,0,199
200,20,-3.0,0,200
