,timesteps,ep_reward,num_updates,episodes
0,200,-614.8154653318513,0,0
1,200,-575.2843894993582,0,1
2,164,-457.8751848311339,0,2
3,200,-600.9119722509546,0,3
4,200,-559.7841662137266,0,4
5,200,-558.6275674902769,0,5
6,200,-506.9420718130792,0,6
7,200,-505.41941127747265,0,7
8,200,-447.46322442533386,0,8
9,190,-474.71177879694267,0,9
10,74,-180.45465075439665,1,10
11,200,-409.7845648010017,0,11
12,77,-186.77643592922252,0,12
13,200,-489.8399237043637,0,13
14,200,-410.59809603467187,0,14
15,200,-649.1859154011305,0,15
16,121,-293.9561627869326,0,16
17,200,-575.4381438682435,0,17
18,88,-145.62352956117962,0,18
19,200,-562.6275781891767,0,19
20,116,-277.605212444721,0,20
21,92,-256.54354996928873,0,21
22,200,-556.596092529294,0,22
23,200,-314.1789516534794,1,23
24,200,-487.20659304682755,0,24
25,73,-144.25468987251503,0,25
26,200,-349.14545587775433,0,26
27,65,-133.59002448100514,0,27
28,189,-347.0022355540086,0,28
29,103,-177.7973754981857,0,29
30,59,-75.0918363892528,0,30
31,179,-220.95552042112158,0,31
32,90,-176.82769499404293,0,32
33,200,-364.93278103942674,0,33
34,200,-332.45382469173387,0,34
35,200,-316.3068689553428,0,35
36,170,-352.8245016093466,1,36
37,200,-328.37300350889547,0,37
38,60,-110.13336028798118,0,38
39,26,-48.90615224342267,0,39
40,200,-393.1263944738979,0,40
41,188,-354.4848805606964,0,41
42,30,-50.191369229544456,0,42
43,44,-86.98347705846354,0,43
44,200,-365.26920882821224,0,44
45,171,-265.70050851352113,0,45
46,200,-368.2255732697647,0,46
47,192,-428.58750857013763,0,47
48,200,-415.21367251604914,0,48
49,200,-383.44675408119434,0,49
50,42,-86.07571498782445,0,50
51,50,-106.03968698959167,1,51
52,200,-290.97934294275007,0,52
53,200,-380.9012776620073,0,53
54,88,-146.26076590397943,0,54
55,200,-374.31056554420263,0,55
56,200,-365.4379482181182,0,56
57,52,-112.23468735866251,0,57
58,163,-313.2547538508977,0,58
59,200,-375.7549850710828,0,59
60,38,-86.85016935276705,0,60
61,200,-386.4306908143366,0,61
62,200,-344.33402046867616,0,62
63,30,-51.17048104363336,0,63
64,200,-370.97124211910125,1,64
65,200,-338.07590517650135,0,65
66,200,-345.17560734370437,0,66
67,200,-373.8937215399,0,67
68,32,-55.84503355936818,0,68
69,47,-93.79893648716808,0,69
70,38,-88.02081967636867,0,70
71,25,-50.67337047685091,0,71
72,24,-44.60754925422121,0,72
73,22,-37.98277665888485,0,73
74,28,-58.233511903903775,0,74
75,32,-52.92731689413193,0,75
76,200,-362.7813604768233,0,76
77,32,-54.66997382032375,0,77
78,37,-66.29849185916343,0,78
79,33,-59.057426824685614,0,79
80,120,-265.98797758496846,0,80
81,36,-61.32544000242433,0,81
82,200,-344.2759128990729,0,82
83,55,-135.79992097072676,0,83
84,18,-31.029294148740203,0,84
85,200,-366.5294399955703,0,85
86,24,-49.51304223884364,0,86
87,198,-336.7043317871361,1,87
88,28,-52.96349760584524,0,88
89,200,-379.90542906244144,0,89
90,200,-396.3005372335484,0,90
91,25,-47.30310040999348,0,91
92,31,-57.49394773203713,0,92
93,200,-377.7690050287751,0,93
94,26,-43.833771272582176,0,94
95,200,-330.058387604428,0,95
96,39,-68.22723005176452,0,96
97,31,-72.72723912475993,0,97
98,18,-31.02006329760937,0,98
99,30,-70.2683029873719,0,99
100,28,-39.32760810411102,0,100
101,200,-362.5616219795752,0,101
102,200,-385.9830370635901,0,102
103,23,-38.657791211435054,0,103
104,191,-340.91899251060556,0,104
105,33,-65.3175175478687,0,105
106,18,-34.77283826204063,0,106
107,59,-78.14147750549034,0,107
108,152,-249.80218168699494,0,108
109,25,-44.20343382274476,0,109
110,18,-34.27751847190609,0,110
111,135,-251.03425370618305,1,111
112,30,-66.86253896385632,0,112
113,194,-349.2239326503003,0,113
114,20,-38.60619452045033,0,114
115,24,-39.09643026178019,0,115
116,30,-58.06673102972901,0,116
117,200,-381.528464624505,0,117
118,25,-49.61334487671043,0,118
119,200,-391.2595827398519,0,119
120,200,-346.71553228281937,0,120
121,17,-30.87720144698199,0,121
122,23,-37.858584446611296,0,122
123,27,-45.79741557397897,0,123
124,18,-33.825638925457916,0,124
125,28,-51.47042934122783,0,125
126,20,-39.072484286732255,0,126
127,119,-208.87288184699963,0,127
128,30,-49.73271007282017,0,128
129,200,-351.75145379395366,0,129
130,24,-44.24672772172995,0,130
131,19,-34.42493838491604,0,131
132,16,-25.432744530050808,0,132
133,97,-168.69657402114277,0,133
134,200,-361.36407566993057,0,134
135,103,-177.76723959199927,0,135
136,24,-43.390072724848714,1,136
137,121,-227.3193006807787,0,137
138,23,-36.26121207305658,0,138
139,200,-355.50858574821854,0,139
140,23,-38.41550568885744,0,140
141,200,-351.05508745999794,0,141
142,20,-37.96367363953084,0,142
143,19,-35.302555104248825,0,143
144,200,-350.9232155302017,0,144
145,20,-37.63376835793245,0,145
146,21,-36.87776043767999,0,146
147,200,-365.62640796240873,0,147
148,51,-71.05242085891848,0,148
149,50,-65.90040756891254,0,149
150,200,-357.56127375578797,0,150
151,28,-57.36244709358177,0,151
152,135,-226.4455821331315,0,152
153,34,-69.16455771259209,0,153
154,200,-348.908955346189,0,154
155,18,-28.6069933096596,0,155
156,20,-37.51191224595086,0,156
157,110,-226.3090779427987,0,157
158,200,-384.46846483893916,1,158
159,19,-31.044764326865447,0,159
160,135,-216.17024121224946,0,160
161,24,-42.37601633301572,0,161
162,17,-27.75622906434035,0,162
163,18,-29.33314637510761,0,163
164,16,-26.659983141614497,0,164
165,114,-200.53349924272825,0,165
166,14,-24.29574550210416,0,166
167,200,-354.7586446891366,0,167
168,19,-28.773657290723015,0,168
169,23,-40.184865516321594,0,169
170,136,-224.59355763203703,0,170
171,200,-326.4116705817968,0,171
172,122,-208.69231405959493,0,172
